title,keyword,abstract,field,authors,date,doi,references
"The inscriptions of Sinope, Part I",,,,Claire Barat,2022,,
Expositions aux champs électromagnétiques liées au déploiement de la technologie de communication « 5G » et effets sanitaires éventuels associés,"Communication technology,Fifth generation 5G,Millimeter waves,Exposure,Risk assessment,Technologie de communication,Cinquième génération,Ondes millimétriques,Exposition,Risques sanitaires,5G",,,"Alicia Torriglia,Pierre Degauque,Laura Draetta,Jean-François Doré,Irina Guseva Canu,Jürg Kesselring,Anne Pereira de Vasconcelos,Frédérique Peronnet,Hakeim Talleb,György Thuróczy,Marie-Pierre Rols,Benjamin Vatovez,Dina Attia,Marion Boyer",2022,,
"Chanter le tatouage. La pègre, les « Apaches » et la chanson réaliste","Tattoo,Realistic Song,Bad Boys,Gangster,Legionnaire,Biribi,Bruant,Fréhel,Tatouage,Chanson réaliste,Légionnaire,Biribi,Bruant,Fréhel,Affranchis,Homme du Milieu",,,Audrey Coudevylle,2022,,
Correlation between nanoscale thermal and electrical conductivity in PEDOT:OTf thin films,,,,"Kirill Kondratenko,David Guérin,D. Deresmes,Stéphane Lenfant,Dominique Vuillaume",2022,,
The Determinants of Intra-Oceanian Imports from 2001 to 2015: A Panel Gravity Model Approach,"Gravity models,Imports,Oceania,Trade agreements",,"General Economics, Econometrics and Finance,Business and International Management",Gil Montant,2022,10.1080/08853908.2019.1639569,"10.1257/000282803321455214, 10.1016/j.jinteco.2006.02.005, 10.3386/w12516, 10.3386/w7857, 10.1016/S1062-9408(02)00118-3, 10.1007/s00181-012-0576-2, 10.1007/BF02707689, 10.2307/1912352, 10.1162/qjec.2008.123.2.441, 10.2139/ssrn.681605, 10.2174/1874919401003010001, 10.1257/jep.13.4.105, 10.1086/261015, 10.1111/twec.12075, 10.1007/s10290-011-0095-9, 10.1002/app5.144, 10.1016/S2110-7017(13)60049-9, 10.1162/rest.88.4.641, 10.2139/ssrn.1347997, 10.3386/w5531, 10.3386/w5939, "
Graphene/pentacene Van der Waals interfaces: from macroscopic devices to the nanoscale,,,,"Michel Daher Mansour,Jacopo Oswald,Davide Beretta,Michel Calame,Dominique Vuillaume",2022,,
Light-Stimulatable Molecules/Nanoparticles Networks for Switchable Logical Functions and Reservoir Computing,"Molecular device,Molecular switch,Nanoparticule,Reconfigurable circuit,Reservoir computing",,"Electrochemistry,Condensed Matter Physics,Biomaterials,Electronic, Optical and Magnetic Materials","Yannick Viero,David Guérin,Anton Vladyka,F. Alibart,Stéphane Lenfant,M. Calame,Dominique Vuillaume",2022,10.1002/adfm.201801506,"10.1103/PhysRevLett.96.156403, 10.1021/cr0680134, 10.1103/PhysRevB.91.155131, 10.1021/jp077095c, 10.1063/1.3116148, 10.1103/PhysRevLett.95.076806, 10.1103/PhysRevB.78.075437, 10.1002/smll.201100931, 10.1002/adma.201201550, 10.1039/C4CS00225C, 10.1002/adma.200601001, 10.1021/jp807479g, 10.1021/nl802487j, 10.1021/acs.jpcc.5b05839, 10.1021/nl902000e, 10.1021/nn300673t, 10.1021/acs.jpcc.7b00056, 10.1109/TNANO.2002.804744, 10.1109/TCSI.2007.907842, 10.1088/0957-4484/18/48/485201, 10.1038/nnano.2015.207, 10.1109/16.536815, 10.1049/ip-cds:20041175, 10.1063/1.4756547, 10.1103/PhysRevE.92.052134, 10.1371/journal.pone.0042772, 10.1002/adma.201103053, 10.1088/0957-4484/24/38/384004, 10.1088/0957-4484/26/20/204003, 10.1021/nn100295x, 10.1038/ncomms12850, 10.1021/acs.accounts.5b00133, 10.1039/C4NR01838A, 10.1109/TED.2003.815860, 10.1038/nature08940, 10.1088/0957-4484/26/36/365701, 10.1038/nature05533, 10.1038/nature07320, 10.1038/nchem.1384, 10.1162/089976602760407955, 10.1126/science.1091277, 10.1021/jp066846s, 10.1063/1.1729774, 10.1109/TPWRD.2007.905505, 10.1103/PhysRevLett.71.3198, 10.1088/0953-8984/22/16/163201, 10.1007/s12065-014-0106-6, 10.1002/pssr.201600211, 10.1039/c002072a, 10.1039/df9511100055, 10.1021/ja00904a001, 10.1039/c2cc31319g, 10.1116/1.1335678, 10.1039/B912317B, 10.1021/la0341761, "
Sorting and Transforming Program Repair Ingredients via Deep Learning Code Similarities,"Software testing and debugging,Program repair,Deep learning,Neural networks,Code clones,Language models",,,"Martin White,Michele Tufano,Matias Martinez,Martin Monperrus,Denys Poshyvanyk",2022,,
Is well-tested code more energy efficient?,"Software Energy,Software Testing,Power Consumption,Code Coverage",,,"Adel Noureddine,Matias Martinez,Houssam Kanso,Noëlle Bru",2022,10.3233/AISE220044,
FBMC-OQAM for frequency-selective mmWave hybrid MIMO systems,"Millimeter wave communications,Hybrid architecture,FBMC,MIMO,OMP,OFDM",,,"Mohammad Masarra,Kais Hassan,Marie Zwingelstein,Iyad Dayoub",2022,10.1109/WCNC51071.2022.9771667,"10.1145/1859964.1859968, 10.1023/A:1018308429332, 10.1109/TWC.2014.011714.130846, 10.1109/MCOM.2014.6979963, 10.1109/ACSSC.2014.7094443, 10.1109/OJCOMS.2020.3015394, 10.1109/TCOMM.2016.2549517, 10.1109/DSP-SPE.2015.7369549, 10.1109/JSAC.2017.2710022, 10.1109/LWC.2018.2839723, 10.1109/5GWF.2019.8911645, 10.1109/LCOMM.2019.2907938, 10.1109/TSP.2016.2580535, 10.1109/TBC.2018.2874547, 10.1109/TSP.2019.2925607, 10.1109/VTCFall.2014.6965986, 10.1109/TCOMM.2019.2950216, 10.1109/TVT.2019.2920475, 10.1109/LCOMM.2018.2884932, 10.1109/LWC.2018.2830777, 10.1109/ACCESS.2018.2875245, 10.1109/ICCW.2015.7247356, 10.1109/TCOMM.2020.3029568, 10.1109/MWSYM.2017.8058660, 10.1109/LWC.2017.2686854, "
Impact du Sida sur les changements des pratiques médiatiques en Afrique,,,,"Sylvie Leleu-Merviel,Seidik Abba,Hachimi Abba",2022,,
Heterogeneous Fields Based Tests for Identification of Materials Constitutive Models at High Rate of Strains,"Dynamic loading,Material behaviour,Parameter identification,Inverse approach,Full-field measurement,Virtual fields method",,,"Eric Markiewicz,Bertrand Langrand,Delphine Notta-Cuvier",2022,,
Study of the phenomenon of the interaction between sessile drops during evaporation,"Deposited drop,Evaporation,Liquid-gas interface and interaction,Relative humidity",,"Renewable Energy, Sustainability and the Environment","Dorra Khilifi,Walid Foudhil,Kamel Fahem,Souad Harmand,Jabrallah Ben",2022,10.2298/tsci180406188k,
In Situ Evaluation of Additional Losses by Thermal Analysis in a Wind Turbine Generator,"Cooling,Electric machines,Magnetic losses,Remote monitoring,Temperature measurement,Thermal engineering,Thermal pollution,Thermal resistance,Wind power generation",,,"Aurélie Fasquelle,Pierre-Olivier Jandaud,Souad Harmand",2022,10.1109/ICELMACH.2018.8507007,"10.1109/TMAG.2017.2661381, 10.1016/j.ijthermalsci.2006.10.013, 10.1115/1.3684335, 10.1109/TIA.2017.2691731, 10.5370/JEET.2012.7.6.905, 10.1049/cp.2012.0289, 10.2495/HT120031, 10.1109/TIE.2012.2190957, 10.1016/j.matcom.2012.08.009, 10.1016/j.applthermaleng.2010.08.007, 10.1109/TIA.2017.2746015, "
Numerical and experimental study of convective heat exchanges on a rotating disk with an eccentric impinging jet,"Heat transfer,Impacting jet,Infrared thermography,Numerical simulation,Rotating disk",,,"Chadia Haidar,Rachid Boutarfa,Souad Harmand",2022,,
Analysis of Fluid Dynamics and Heat Transfer in a Rectangular Duct with Staggered Baffles,"Mathematical modelling,Numerical simulation heat transfer,Rectangular channel,S-baffles",,,"Younes Menni,Ahmed Azzi,Ali Chamkha,Souad Harmand",2022,10.22055/jacm.2018.26023.1305,
Effect of temperature on evaporation dynamics of sheep's blood droplets and topographic analysis of induced patterns,Evaporation of blood drops Topographic analysis Marangoni effect Induced pattern,,Multidisciplinary,"Ahmad Jaber,Romain Vayron,Souad Harmand",2022,10.1016/j.heliyon.2022.e11258,"10.1109/MEMB.2005.1411354, 10.1016/S1672-6529(09)60221-3, 10.4236/jbise.2015.81001, 10.1016/j.colsurfb.2012.09.043, 10.1016/j.colsurfa.2017.12.064, 10.1115/1.2792112, 10.1021/am2009019, 10.1016/j.colsurfb.2021.111763, 10.1134/1.1568479, 10.1007/BF03256214, 10.1038/s41598-020-59847-x, 10.1017/S0022112010005070, 10.1039/C9RA02078K, 10.1007/s11051-017-3951-2, 10.1021/acs.langmuir.6b02769, 10.1038/nphys4214, 10.1002/advs.202104519, 10.1088/1755-1315/275/1/012011, 10.1016/j.colsurfa.2019.03.051, 10.1152/ajplegacy.1971.220.6.1667, 10.1140/epje/e2007-00037-6, 10.1016/0360-8352(96)00127-1, "
A three-dimensional study of electronic component cooling using a flat heat pipe,,,"Fluid Flow and Transfer Processes,Mechanical Engineering,Condensed Matter Physics","Hamdy Hassan,Souad Harmand",2022,10.1080/01457632.2013.730426,"10.1016/S0017-9310(00)00016-8, 10.1016/j.ijheatmasstransfer.2007.08.023, 10.1016/0017-9310(94)90113-9, 10.1016/0890-4332(94)90039-6, 10.1016/j.ijheatmasstransfer.2005.10.001, 10.1016/j.ijheatmasstransfer.2008.04.071, 10.1016/j.applthermaleng.2008.06.002, 10.1016/S0017-9310(99)00300-2, 10.1016/j.ijheatmasstransfer.2006.03.035, 10.1016/j.ijheatmasstransfer.2010.09.057, 10.1016/0017-9310(94)90113-9, 10.1016/S0017-9310(96)00339-0, 10.1016/0301-9322(90)90008-7, 10.1299/jsme1958.29.3319, 10.1016/j.jcp.2008.05.021, "
Effect of self-rewetting fluids on the liquid/vapor phase change in a porous media of two-phase heat transfer devices,"Phase change,Porous media,Self-rewetting fluids,Visualization",,"Fluid Flow and Transfer Processes,Mechanical Engineering,Condensed Matter Physics","Riadh Boubaker,Souad Harmand,Safouene Ouenzerfi",2022,10.1016/j.ijheatmasstransfer.2019.03.016,"10.1016/j.ijheatmasstransfer.2003.11.003, 10.1016/j.energy.2016.05.102, 10.1016/j.applthermaleng.2016.02.034, 10.1016/j.applthermaleng.2004.07.010, 10.1016/j.ijheatmasstransfer.2017.10.074, 10.1016/j.applthermaleng.2018.07.058, 10.1016/j.ijheatmasstransfer.2017.12.158, 10.1016/j.actaastro.2007.01.002, 10.1016/j.ijheatmasstransfer.2017.07.090, 10.1115/1.4001855, 10.1016/j.expthermflusci.2015.06.016, 10.1016/j.ijheatmasstransfer.2008.01.040, 10.1016/j.ijheatmasstransfer.2013.11.031, 10.1016/j.actaastro.2018.03.045, 10.1016/j.ijheatmasstransfer.2016.12.093, 10.1016/j.expthermflusci.2017.10.037, 10.1080/08916152.2016.1233148, 10.1016/j.ijthermalsci.2015.07.024, 10.1016/j.applthermaleng.2017.03.102, 10.1007/s10404-008-0282-8, 10.1016/0894-1777(88)90043-X, 10.1016/j.applthermaleng.2015.03.069, 10.1016/j.ijheatmasstransfer.2006.10.029, "
Heat transfer coefficient distribution on the pole face of a hydrogenerator scale model,"Hydrogenerator,Heat transfer coefficient,Salient pole machine,FEM,CFD",,"Industrial and Manufacturing Engineering,Energy Engineering and Power Technology","Federico Torriano,Nicolas Lancial,Melanie Levesque,Gilles Rolland,Claude Hudon,François Beaubert,Jean-Francois Morissette,Souad Harmand",2022,10.1016/j.applthermaleng.2014.04.048,"10.1109/TIE.2008.2011622, 10.1016/j.applthermaleng.2010.08.007, 10.1016/j.applthermaleng.2012.10.039, 10.1016/j.applthermaleng.2005.12.009, 10.1109/TIE.2009.2031191, 10.1109/TEC.2011.2161610, "
Parametric Study of the Effect of the Vapor Chamber Characteristics on Its Performance,"Cooling,Numerical model,Parameters,Performance,Vapor chamber",,"Mechanical Engineering,Mechanics of Materials,Condensed Matter Physics,General Materials Science","Hamdy Hassan,Souad Harmand",2022,10.1115/1.4024613,"10.1109/TCAPT.2002.807994, 10.1016/j.applthermaleng.2008.12.009, 10.1016/j.ijheatmasstransfer.2007.08.023, 10.1016/j.enconman.2007.10.024, 10.1016/j.ijheatmasstransfer.2011.04.026, 10.1016/j.asej.2012.02.003, 10.1016/j.applthermaleng.2011.02.034, 10.1016/0017-9310(94)90113-9, 10.1016/S0017-9310(96)00339-0, 10.1016/0301-9322(90)90008-7, 10.2172/4131841, 10.1299/jsme1958.29.3319, 10.1016/j.jcp.2008.05.021, 10.1063/1.1762111, 10.1016/j.ijheatmasstransfer.2008.04.071, 10.1016/j.ijheatmasstransfer.2010.09.057, "
Experimental investigation on the feasibility of heat pipe cooling for HEV/EV lithium-ion battery,"Heat pipe,Transient input power,Cooling system,Lithium-ion battery,Hybrid electric and electric vehicle",,"Industrial and Manufacturing Engineering,Energy Engineering and Power Technology","Thanh-Ha Tran,Souad Harmand,Bernard Desmet,Sebastien Filangi",2022,10.1016/j.applthermaleng.2013.11.048,"10.1016/S0378-7753(02)00200-8, 10.1016/j.jpowsour.2008.03.082, 10.1149/1.2408330, 10.1016/S0378-7753(02)00048-4, 10.1016/j.enconman.2012.08.014, 10.1149/1.2113792, 10.1149/1.1837884, 10.1149/2.044306jes, 10.1016/S0894-1777(03)00047-5, 10.1016/j.applthermaleng.2012.10.035, 10.1016/j.applthermaleng.2012.12.011, 10.1016/j.applthermaleng.2012.12.010, "
A Variable Neighborhood Search (VNS) metaheuristic for Multiprocessor Scheduling Problem with Communication Delays,"Communication delay,Metaheuristics,Multiprocessors,Task Scheduling,Variable Neighborhood Search,VNS",,,"Abdessamad Ait El Cadi,Rabie Ben Atitallah,Nenad Mladenovic,Abdelhakim Artiba",2022,10.1109/IESM.2015.7380290,"10.1002/nav.10056, 10.1142/S021759590500056X, 10.1016/j.cor.2006.05.013, 10.1007/BF01108764, 10.1016/j.jpdc.2007.03.003, 10.1007/978-1-4615-5775-3_30, 10.1007/s11590-014-0802-2, 10.1016/S0377-2217(00)00100-4, 10.1007/s10479-009-0657-6, 10.1016/S0305-0548(97)00031-2, 10.1080/09537280601035836, 10.1007/BF01586059, 10.1016/0166-218X(87)90042-4, 10.1007/978-3-642-33078-0_10, 10.1016/j.cie.2010.02.012, "
International Journal of Services and Operations Management,,,,"Mourad Abed,Mounir Benaissa",2022,,
Performance of system based on two ontologies in order to supply personalised information,"Ontology,User profiles,Protégé tool,System performance,Personalised information,Personalised interactive systems,Passengers,Passenger services,Passenger entertainment,Passenger movements,Multimodal transport networks,Public transport,Online data submission,Web forms,Passenger profiles,Customer satisfaction",,"Management Science and Operations Research,Strategy and Management,Business and International Management","Houda Mnasser,Faiez Gargouri,Mourad Abed",2022,10.1504/IJBPSCM.2014.065266,
[Invited] The universities of the future and the impact of digital technologies: trends and challenges from our experience at Université Polytechnique Hauts-de-France,,,,"Abdelhakim Artiba,Mourad Abed,Sébastien Grondel",2022,,
An Ontology-based Personalized Retrieval Model Using Case Base Reasoning.,"Case base reasoning ontology,Personalized search,Information retrieval,Query formulation",,General Engineering,"Amir Zidi,Amna Bouhana,Mourad Abed,Afef Fekih",2022,10.1016/j.procs.2014.08.101,"10.1007/11915072_50, 10.1109/5254.769887, 10.1109/TIP.2008.916999, 10.1016/j.ins.2008.02.001, 10.1016/j.is.2011.09.004, 10.1016/j.eswa.2012.12.090, 10.1016/j.ins.2012.07.055, 10.1016/j.jbi.2011.12.008, 10.1109/TCSVT.2007.890633, 10.1145/963770.963773, 10.1016/j.ins.2009.04.005, 10.1016/j.knosys.2013.02.004, 10.1016/j.eswa.2007.12.053, 10.1016/j.eswa.2012.12.028, 10.1016/j.eswa.2005.01.010, 10.3233/AIC-1994-7104, 10.1016/j.websem.2010.11.003, 10.1145/1877766.1877767, 10.1016/j.eswa.2012.03.068, 10.1016/j.fss.2008.06.002, 10.1109/LOGISTIQUA.2011.5939443, "
Minimizing the weighted sum of maximum earliness- tardiness cost on a single machine under maintenance constraints,,,,"Rachid Benmansour,Hamid Allaoui,Abdelhakim Artiba,Said Hanafi",2022,,
Mixed integer programming formulations for the single processor scheduling problem with time restrictions,"Mixed integer programming,Single processor scheduling,Time restrictions",,,"Rachid Benmansour,Oliver Braun,Abdelhakim Artiba",2022,,
Tribology under extreme conditions devoted to manufacturing processes : methods and approaches developed at LAMIH,,,,"André Dubois,Laurent Dubar,Mirentxu Dubar",2022,,
"Water-Soluble Ruthenium (II) Complex Derived From Optically Pure Limonene and Its Microencapsulation Are Efficient Tools Against Bacterial Food Pathogen Biofilms: Escherichia coli, Staphylococcus aureus, Enteroccocus faecalis, and Listeria monocytogenes","Ruthenium II,Limonene,Complexation,Microencapsulation,Biofilm,Antibacterial agent,Food pathogen,Biofilm removal",,"Microbiology (medical),Microbiology","Simon Khelissa,Yousra El Fannassi,Samah Mechmechani,Sakhr Alhuthali,Mohamed Amin El Amrani,Adem Gharsallaoui,Alexandre Barras,Nour-Eddine Chihib",2022,10.3389/fmicb.2021.711326,"10.1007/s00203-014-0983-1, 10.1039/C7DT04684G, 10.1002/ejic.201500097, 10.1021/cen-v089n014.p021, 10.1100/2012/528593, 10.1080/08927014.2011.626899, 10.3390/foods8070275, 10.1128/AEM.01102-15, 10.1039/c4cc06147k, 10.1016/j.tim.2019.07.008, 10.3390/chemistry2040056, 10.3390/antibiotics9060337, 10.1002/chem.201404303, 10.1016/j.tifs.2007.11.006, 10.3390/molecules24132471, 10.3390/molecules25010033, 10.1002/chir.22073, 10.1016/j.tim.2020.03.016, 10.1080/08927014.2021.1873958, 10.1111/jam.15010, 10.1007/s00203-019-01643-x, 10.1007/s13213-018-1419-y, 10.1186/s13568-017-0492-0, 10.1039/C4CS00343H, 10.3390/molecules24142631, 10.1080/08927010109378469, 10.3390/molecules24132470, 10.1002/hc.20578, 10.1021/jm050015d, 10.2174/1874285801711010053, 10.1016/bs.ampbs.2017.03.001, 10.1073/pnas.1901788116, 10.1128/AEM.02095-09, 10.3390/polym10060650, "
Simulation of crack growth during heating processes,,,,"Damien Barbier,Jean-Dominique Guerin,Mirentxu Dubar,Thierry Bénard",2022,,
Robust Takagi-Sugeno fuzzy control of a spark ignition engine,"SI engine,Torque control,Takagi-Sugeno models,Robust control,LMI",,"Applied Mathematics,Electrical and Electronic Engineering,Computer Science Applications,Control and Systems Engineering","Djamel Khiar,Jimmy Lauber,Thierry Floquet,Guillaume Colin,Thierry-Marie Guerra,Yann Chamaillard",2022,10.1016/j.conengprac.2007.02.003,"10.4271/2001-01-0262, 10.1016/S0967-0661(03)00113-8, 10.1109/CDC.2004.1430287, 10.1016/S0967-0661(03)00020-0, 10.1109/ACC.2003.1239114, 10.1016/j.conengprac.2004.12.007, 10.1109/VPPC.2005.1554587, 10.4271/2002-01-2156, 10.1016/S0165-0114(99)00078-0, 10.1016/S0167-6911(99)00119-X, 10.4271/932410, 10.1016/j.conengprac.2005.04.009, 10.1016/0167-6911(94)00050-6, 10.1002/rnc.901, 10.1109/CDC.1994.411385, 10.1109/TSMC.1985.6313399, 10.1109/91.669023, 10.1109/91.481840, 10.1002/0471224596, 10.1016/S0888-613X(02)00061-0, 10.1109/91.919253, "
Penser la circulation des danseuses et des danseurs : éléments pour une nouvelle géographie de la danse en Europe (fin XVIIIe siècle-1850),,,,Emmanuelle Delattre-Destemberg,2022,,
[Invited] AlGaN Channel HEMTs for High Voltage Applications,,,,"F Medjdoub,Jash Mehta,Idriss Abid,Yvon Cordier,Fabrice Semond",2022,,
[Invited] Size reduction of InGaN/GaN based led devices as a major challenge for boosting light fidelity frequency bandwidth,,,,"Bandar Alshehri,Karim Dogheche,El Hadj Dogheche",2022,,
High charge mobility in two-dimensional percolative networks of PbSe quantum dots connected by atomic bonds,,,"General Physics and Astronomy,General Biochemistry, Genetics and Molecular Biology,General Chemistry,Multidisciplinary","Wiel Evers,Juleon Schins,Michiel Aerts,Aditya Kulkarni,Pierre Capiod,Maxime Berthe,B. Grandidier,Christophe Delerue,Herre van Der Zant,Carlo van Overbeek,Joep Peters,Daniel Vanmaekelbergh,Laurens Siebbeles",2022,10.1038/ncomms9195,"10.1021/cr900137k, 10.1016/j.physrep.2011.01.001, 10.1021/cm303786a, 10.1126/science.1188035, 10.1021/nl303322k, 10.1126/science.1252642, 10.1021/nl401298s, 10.1021/nn504679k, 10.1103/PhysRevB.88.115431, 10.1039/C4CP01878H, 10.1038/nnano.2011.159, 10.1021/nl304753n, 10.1021/nl404818z, 10.1021/nl403889u, 10.1021/nn506724h, 10.1103/PhysRev.111.1029, 10.1016/0020-0891(69)90022-0, 10.1016/S0022-3697(73)80183-0, 10.1021/jz200080d, 10.1021/nl015524r, 10.1021/jp0646123, 10.1021/jp021187e, 10.1002/smll.200801378, 10.1016/j.jphotochem.2010.08.006, 10.1103/RevModPhys.83.543, 10.1109/TTHZ.2013.2258193, 10.1103/PhysRevB.74.184430, 10.1016/S0009-2614(97)00274-1, 10.1080/01442350701782776, 10.1021/nl302161n, 10.1021/nn3009382, 10.1016/0038-1101(64)90038-3, 10.1088/0957-4484/24/27/275706, 10.1103/PhysRevB.64.155106, 10.1007/s10762-012-9905-y, 10.1021/ja062626g, 10.1021/nl503406a, 10.1021/nl201115h, "
[Invited] Vers la fabrication de micro-dispositifs de stockage électrochimique en technologie couche mince pour l'IoT,,,,Christophe Lethien,2022,,
Design and fabrication of an inverted hat antenna paired with a filled cavity for radio-navigation applications,"Distance measuring equipment,Inverted hat antenna,Radio-navigation,Airborne antenna,Cavity",,Electrical and Electronic Engineering,"Z. Hamouda,S. Azaizia,M. Hideche,A. Zemmam,T. Lasri",2022,10.1017/S1759078722000629,"10.1109/JRPROC.1955.278057, 10.1109/LAWP.2012.2217727, 10.1109/TAP.2019.2907818, 10.1109/APWC.2019.8870487, 10.1002/047178012X, 10.1109/TAP.2016.2552543, 10.1109/IEEECONF35879.2020.9329959, 10.1049/cmu2.12181, 10.1109/CSNDSP.2014.6923879, 10.1109/TAP.2010.2048866, 10.1109/OJAP.2020.3034051, 10.1109/TAP.2012.2207313, 10.1049/el:20092571, 10.1109/TAP.2012.2211319, 10.1109/22.798001, 10.1109/LAWP.2020.2983746, 10.1109/LAWP.2022.3159989, 10.1109/CAMA.2014.7003376, 10.1049/iet-map:20050323, 10.1017/S1759078721001768, 10.1109/TAP.2016.2641925, "
Variable Neighborhood Search for Identical Parallel Machine Scheduling Problem with a Single Server,"Identical parallel machines scheduling,Scheduling with a single server,Variable neighborhood search",,,"Abdelhak El Idrissi,Mohammed Benbrahim,Rachid Benmansour,David Duvivier",2022,10.1007/978-3-030-44932-2_8,"10.1016/S0305-0548(00)00074-5, 10.1016/S0305-0548(03)00144-8, 10.1016/j.cor.2004.08.013, 10.1016/j.jksues.2019.03.006, 10.1111/itor.12302, 10.1109/CoDIT.2014.6996900, 10.1007/s10951-018-0579-8, 10.1007/978-3-030-15843-9_16, 10.1007/s10951-013-0342-0, 10.1002/jos.120, 10.1093/imaman/dpm016, 10.1051/matecconf/201820000001, 10.1109/ICOA.2018.8370596, 10.1016/j.cor.2011.11.007, 10.1007/s10479-009-0657-6, 10.1080/00207543.2013.874607, 10.1080/0305215X.2015.1005083, 10.1016/j.cor.2011.12.011, 10.1016/j.cor.2011.08.022, 10.1016/0305-0548(96)00011-1, 10.1016/S0895-7177(97)00236-7, 10.1051/ro/2018055, 10.1016/S0305-0548(97)00031-2, 10.1016/j.ejor.2009.06.018, 10.1007/s00291-014-0376-5, 10.1016/j.ejor.2016.01.014, "
Adaptative vital signs monitoring system based on the early warning score approach in smart hospital context,,,"Artificial Intelligence,Electrical and Electronic Engineering,Computer Networks and Communications,Computer Science Applications,Urban Studies,Software,Control and Systems Engineering","Imen Ben Ida,Moez Balti,Sondès Chaabane,Abderrazak Jemai",2022,10.1049/SMC2.12004,"10.1016/j.artmed.2018.05.005, 10.1016/j.ijnurstu.2017.09.003, 10.1016/j.aucc.2016.10.003, 10.1109/TII.2014.2307795, 10.1016/j.future.2017.02.014, 10.1016/j.future.2017.04.036, 10.1109/JSYST.2015.2460747, 10.1007/978-3-319-98551-0_1, 10.1097/TME.0000000000000076, 10.1016/j.resuscitation.2012.12.016, 10.1109/MNET.2018.1700169, 10.1016/j.ijnurstu.2017.01.009, 10.1109/JIOT.2015.2498900, 10.1016/j.future.2015.09.021, 10.21105/joss.00265, 10.1109/MIC.2010.145, 10.1109/MNET.2017.1700030, "
