title,keyword,abstract,field,authors,date,doi,references
"Mídias localizadas e mobilidades compartilhadas, criação e ativação em três dispositivos artísticos contemporâneos,Localized media and shared mobilities, creation and activation in three contemporary artistic devices,Médias localisés & mobilités partagées, création & activation dans trois dispositifs artistiques contemporains","Shared mobility,Contemporary artistic devices,Localized media",,General Medicine,"Bernard Guelton,Nikoleta Kerinska",2024,10.14393/OUV23-v14n2a2018-25,
フランス私法学の伝統における法概念の役割,,,,Florent Masson,2024,,
"Les droits réels et la mort (1) : biens en tontine, ""droits tontiniers"" et saisie",,,,Florent Masson,2024,,
Accéder aux personnes en situation de grande précarité (sans-abri) pour comprendre les raisons de la (non) pratique d’activités physiques et sportives,,,,Julie Duflos,2024,,
Probabilistic intrusion detection based on an optimal strong K-barrier strategy in WSNs,,,"Computer Networks and Communications,Software","Adda Boualem,Cyril de Runz,Marwane Ayaida,Hisham Kholidy",2024,10.1007/s12083-024-01634-w,"10.3390/s18020534, 10.1016/j.jpdc.2020.12.007, 10.1016/j.matpr.2022.04.202, 10.1016/j.matpr.2023.03.049, 10.48550/arXiv.2306.12355, 10.1007/s12243-021-00890-8, 10.3390/s22031003, 10.1002/dac.5120, 10.1007/s00500-023-08406-3, 10.1016/j.eswa.2022.118588, 10.1002/nem.569, 10.1007/s12652-022-04024-3, 10.1145/1287853.1287863, 10.1007/s11277-020-07697-1, 10.1023/A:1016542229220, 10.1007/978-3-642-21762-3_38, 10.1007/s11276-018-1867-0, 10.1109/globecom46510.2021.9685760, 10.1016/j.phycom.2022.101839, 10.1145/3377402, 10.3390/s19112546, 10.1007/s40747-023-01078-4, 10.1016/j.procs.2017.10.054, 10.3390/f13101690, 10.1016/j.adhoc.2016.11.014, 10.1145/3579034, 10.1117/12.2519272, 10.1109/access.2021.3095063, 10.1155/2022/2659901, 10.3390/s18020534, 10.1177/1550147718761582, 10.1109/JSYST.2018.2794583, 10.1007/s11390-020-9210-5, 10.1109/tvt.2019.2917947, 10.1007/s11220-019-0266-7, 10.3390/s23115026, 10.1109/MATHIT.2017.8259726, 10.1007/s11390-020-9210-5, 10.1109/JIOT.2017.2689777, 10.1016/j.comnet.2021.108041, 10.1504/ijsnet.2019.097808, 10.1177/1550147717693242, 10.1007/s11036-019-01273-z, 10.1155/2017/1206129, 10.3390/s22176381, 10.1016/S1570-8705(03)00048-9, "
"Contacts : photographie, gravure - jeux et enjeux",,,,Nicolas Devigne,2024,,
Photo brute,,,,Nicolas Devigne,2024,,
Sensações cinéticas: Palatnik e o movimento como tema nas artes visuais,,,General Medicine,Nikoleta Kerinska,2024,10.14393/OUV,
Soft microelectromechanical systems and artificial muscles based on electronically conducting polymers,,,,"Katlin Rohtlaid,Giao T. M. Nguyen,Caroline Soyer,John Dw Madden,Eric Cattan,Frederic Vidal,Cedric Plesse",2024,,
Pour une historiographie des arts en Hainaut.,"Hainaut,Histoire de l'art",,,Ludovic Nys,2024,,
"Les Bavière-Straubing 1347-1436. Hollande, Zélande et Frise, Hainaut, Straubing","Hollande,Zélande,Frise,Bavière,Straubing,Hainaut",,,"Ludovic Nys,Alain Marchandisse",2024,,
Performance des entreprises cibles avant la prise de contrôle,,,,Ghassen Allani,2024,,
Left and Right Cortical Activity Arising from Preferred Walking Speed in Older Adults,,,"Electrical and Electronic Engineering,Biochemistry,Instrumentation,Atomic and Molecular Physics, and Optics,Analytical Chemistry","Julia Greenfield,Véronique Delcroix,Wafae Ettaki,Romain Derollepot,Laurence Paire-Ficout,Maud Ranchet",2024,10.3390/s23083986,"10.4324/9781315102481, 10.2519/jospt.1998.28.1.51, 10.1016/S0021-9290(02)00046-5, 10.1093/ageing/afr055, 10.3233/THC-174736, 10.1002/mds.21720, 10.1186/s12868-016-0244-0, 10.3389/fnhum.2020.592532, 10.2519/jospt.1996.24.2.86, 10.1016/0003-9993(94)90170-8, 10.1093/gerona/51A.6.M303, 10.1098/rsif.2014.0353, 10.1016/j.arr.2014.06.001, 10.1093/gerona/60.10.1304, 10.1093/gerona/glp033, 10.1212/WNL.0000000000003421, 10.3389/fneur.2020.601686, 10.3389/fphys.2014.00204, 10.1016/j.biopsycho.2018.01.009, 10.1001/archneur.55.3.395, 10.1093/gerona/59.12.1277, 10.1016/j.neuron.2004.09.006, 10.1073/pnas.1506264112, 10.1038/s41591-019-0719-5, 10.1016/j.neubiorev.2017.10.002, 10.3389/fmed.2021.554231, 10.1016/j.neuroscience.2021.08.019, 10.1007/s00221-008-1643-y, 10.1016/j.neuroscience.2016.11.032, 10.1016/j.neuroimage.2004.07.002, 10.3389/fnhum.2014.00078, 10.3389/fnagi.2019.00367, 10.1117/1.NPh.4.4.041403, 10.1016/j.neuroimage.2013.05.004, 10.1016/j.gaitpost.2020.09.012, 10.1093/ageing/afi196, 10.1111/j.1532-5415.2005.53221.x, 10.5694/j.1326-5377.1994.tb125905.x, 10.1093/ptj/83.3.237, 10.3390/s22176694, 10.1016/j.maturitas.2018.04.011, 10.1016/j.ijpsycho.2022.01.011, 10.1186/s13643-019-1063-z, 10.1123/jab.29.3.261, 10.1155/2017/6375976, 10.1155/2019/9232430, 10.1016/j.apmr.2020.04.009, 10.1080/00222895.2021.1990005, 10.1186/1743-0003-2-19, 10.1109/10.532130, 10.1016/j.brainres.2015.09.039, 10.1186/s12877-020-01985-y, 10.1016/S1873-9598(10)70036-3, 10.23736/S1973-9087.21.06831-3, 10.2147/CIA.S166863, 10.1007/BF00626763, 10.1016/j.jbiomech.2004.12.014, 10.1016/j.gaitpost.2007.07.009, 10.3389/fnhum.2015.00246, 10.3389/fnagi.2021.771885, 10.1016/j.bandc.2017.04.002, 10.1038/s42003-022-03323-x, 10.1037/0882-7974.17.1.85, 10.1159/000091822, 10.1016/j.apmr.2007.07.001, 10.3390/s21186159, 10.1016/j.neubiorev.2015.08.002, 10.1016/0160-2896(88)90016-5, 10.1016/j.jsams.2015.04.003, 10.1080/02640414.2016.1198045, "
Methods for Designing Tangible UI: A First Comparative Case Study,"Experimentation,Tangible User Interfaces,Design Methods,Case Study",,,"Céline Coutrix,Guillaume Rivière,Katarzyna Borgiel,Julien Castet,Nadine Couture,Brygg Ullmer,Jens Geelhaar,Patrick Reuter,Nawel Takouachet,Christophe Kolski,Sophie Lepreux,Jérémy Legardeur,Sebastien Kubicki,Yvonne Jansen,Amira Bouadid",2024,,
Variations sur le thème de l'évaluation de soutenances,Évaluation des apprentissages,,,"Julien Pellé,Dominique Bernier,Philippe Champagne,Samuel Dupont",2024,,
Filtres acousto-optique pour l’imagerie hyperspectrale et spectro-polarimétrique,Filtre  acousto-optique  imagerie  polarisation,,,"Samuel Dupont,Justine Champagne,Jean-Claude Kastelik,Joseph Gazalet",2024,,
Topological elastic interface states in hyperuniform pillared metabeams,,,"General Engineering,General Materials Science","Runcheng Cai,Yan Pennec,Laurent Carpentier,Yabin Jin,Timon Rabczuk,Xiaoying Zhuang,Bahram Djafari-Rouhani",2024,10.1063/5.0184699,"10.1016/s1369-7021(09)70315-3, 10.1007/s11433-021-1787-x, 10.1515/nanoph-2018-0227, 10.1038/natrevmats.2016.1, 10.1126/sciadv.1501595, 10.1038/s41467-018-07990-5, 10.1038/s41578-022-00465-6, 10.1038/nphys3228, 10.1038/ncomms9682, 10.1103/physrevapplied.16.044008, 10.1103/physrevapplied.14.054028, 10.1016/j.ijmecsci.2019.05.020, 10.1016/j.eml.2020.100777, 10.1103/physrevapplied.15.014025, 10.1103/physrevlett.122.014301, 10.1103/physrevb.101.024101, 10.1103/physrevlett.42.1698, 10.1088/1402-4896/ac4ed2, 10.1103/physrevb.102.134303, 10.1103/physrevapplied.14.054035, 10.1103/physrevb.97.155422, 10.1038/nphys4323, 10.1016/j.jsv.2023.117710, 10.1103/physrevapplied.18.014067, 10.1016/j.ymssp.2021.108774, 10.1063/5.0097530, 10.1063/5.0152606, 10.1080/23746149.2022.2109431, 10.1103/physreve.68.041113, 10.1088/1742-5468/2009/12/p12015, 10.1103/physrevx.5.021020, 10.1016/j.physrep.2018.03.001, 10.1088/1361-6463/ac006d, 10.1063/1.2961314, 10.1103/physrevapplied.11.054076, 10.1063/5.0097894, 10.1103/physrevlett.125.127402, 10.1103/physrevlett.117.053902, 10.1103/physrevb.95.094120, 10.1073/pnas.1307879110, 10.1103/physrevb.91.020201, 10.1063/1.5117265, 10.1093/nsr/nwab133, 10.1063/1.5055295, 10.1038/s41567-017-0024-5, 10.1063/5.0059928, 10.1103/physreve.70.046122, 10.1103/physrevx.4.021017, "
“Représenter au naturel” – Rhétorique et mise à nu dans les Essais,,,,Blandine Perona,2024,,
fundamental_constants,"Fortran,Physical constants",,,Vincent Magnin,2024,,
Phonon-Plasmon coupling in pillared phononic crystals mediated by surface acoustic waves,,,,"A. Noual,Rock Akiki,Gaëtan Lévêque,Yan Pennec,El Houssaine El Boudouti,Bahram Djafari-Rouhani",2024,,
Comparing social representation of water quality in coastal lagoons with normative use of ecological indicators,,,"Law,Management, Monitoring, Policy and Law,Economics and Econometrics,General Environmental Science,Aquatic Science","Christelle Audouit,Vanina Pasqualini,Rutger de Wit,Hervé Flanquart,Philippe Deboudt,Caroline Rufin-Soler",2024,10.1016/j.marpol.2017.08.023,"10.1007/s10530-004-3123-z, 10.1016/j.ecss.2005.07.021, 10.1016/j.envsci.2014.08.006, 10.1016/j.marpolbul.2015.09.039, 10.1016/j.landusepol.2016.04.034, 10.1002/aqc.691, 10.1016/j.marpolbul.2016.01.049, 10.1139/F10-018, 10.1016/j.ecolind.2014.07.012, 10.4000/vertigo.1959, 10.1016/j.ecoleng.2017.01.027, 10.1080/00222216.1989.11969789, 10.1007/s12237-008-9038-7, "
Surfaces in a pseudo-sphere with harmonic or 1-type pseudo-spherical Gauss map.,"Pseudo-sphere,Gauss map,Finite type map,Harmonic map",,"Geometry and Topology,Analysis","B. Bektas,J. van Der Veken,Luc Vrancken",2024,10.1007/s10455-017-9548-2,"10.1007/s00025-016-0560-9, 10.1142/0065, 10.5486/PMD.2011.4860, 10.4134/JKMS.2007.44.2.407, 10.1017/S0004972700013162, 10.4310/jdg/1214429997, 10.1112/jlms/s2-26.1.104, 10.4134/JKMS.2004.41.2.379, 10.2307/1970816, 10.21099/tkbjm/1496159942, 10.4310/jdg/1214428258, 10.1090/S0002-9947-1970-0259768-5, 10.2969/jmsj/01840380, "
Panorama des initiatives nationales de régulation de l’IA,"AI,Legal framework,Ethics,National initiatives,Government strategies,IA,Encadrement juridique,Éthique,Initiatives nationales,Stratégies gouvernementales",,,Emma Miquel,2024,,
Polydopamine treatment of chitosan nanofibers for the conception of osteoinductive scaffolds for bone reconstruction,"Electrospinning,Nanofibers,Polydopamine,Scaffolds,Hydroxyapatite,Bone tissue engineering",,"Materials Chemistry,Polymers and Plastics,Organic Chemistry","Syrine Dimassi,Nicolas Tabary,Feng Chai,Cedric Zobrist,Jean-Christophe Hornez,Frederic Cazaux,Nicolas Blanchemain,Bernard Martel",2024,10.1016/j.carbpol.2021.118774,"10.1016/j.ijbiomac.2016.12.046, 10.1016/j.actbio.2017.11.003, 10.1016/j.addr.2018.05.001, 10.1002/bit.21900, 10.1016/j.msec.2016.11.070, 10.1021/am501391z, 10.3390/ijms13022439, 10.1016/j.ijbiomac.2014.09.050, 10.1016/j.bone.2007.12.131, 10.1016/j.msec.2016.03.064, 10.1016/j.biomaterials.2012.09.009, 10.1186/2055-7124-18-5, 10.1016/j.arabjc.2015.11.015, 10.1166/jbn.2014.1888, 10.1016/j.biomaterials.2019.119366, 10.1016/j.addr.2009.07.008, 10.1016/j.memsci.2010.08.017, 10.1016/j.actbio.2013.07.003, 10.1088/1748-6041/2/4/R02, 10.1016/j.msec.2012.07.039, 10.1002/app.42883, 10.1021/bm4008343, 10.1016/0142-9612(91)90194-F, 10.1016/j.biomaterials.2006.01.017, 10.1186/s11671-016-1532-4, 10.1007/s13233-018-6018-z, 10.1126/science.1147241, 10.1016/j.actbio.2016.02.006, 10.1039/c4tb00027g, 10.1016/j.jmbbm.2008.01.007, 10.1177/2041731416683745, 10.1016/j.msec.2017.08.010, 10.1016/j.actbio.2014.08.036, 10.1016/j.carbpol.2016.05.049, 10.1039/c1nr10969c, 10.1016/j.carbpol.2020.117058, 10.1016/j.apsusc.2013.07.139, 10.3390/cancers11111679, 10.1002/term.1648, 10.1016/j.ijpharm.2016.09.060, 10.1016/j.cocis.2018.01.015, 10.1016/j.ijbiomac.2011.09.016, 10.1016/j.ijbiomac.2019.04.115, 10.1002/adfm.200902347, 10.1016/j.ijbiomac.2015.07.016, 10.1016/j.supflu.2014.10.029, 10.1016/j.ijbiomac.2011.04.010, 10.1016/j.ijbiomac.2017.11.017, 10.1166/jbn.2013.1559, 10.1016/j.ijbiomac.2018.04.045, 10.1002/mame.201200217, 10.1021/am405774v, 10.1177/0885328213483842, 10.1007/s10853-012-6921-1, 10.1016/j.tifs.2017.10.009, 10.1021/bm900623j, 10.1021/la400587j, 10.1016/j.ijbiomac.2020.11.101, "
RailSet: A Unique Dataset for Railway Anomaly Detection,,,,"Arij Zouaoui,Ankur Mahtani,Mohamed Amine Hadded,Sébastien Ambellouis,Jacques Boonaert,Hazem Wannous",2024,10.1109/IPAS55744.2022.10052883,"10.1109/TITS.2009.2026671, 10.1109/TIP.2011.2173206, 10.48550/ARXIV.1604.01685, 10.1109/TITS.2010.2052101, 10.1109/ICPR48806.2021.9412972, 10.1109/CVPR46437.2021.00091, 10.1007/978-3-319-10602-1_48, 10.1007/978-3-031-09037-0_16, 10.1109/ICCV.2017.534, 10.1109/CVPRW.2019.00161, 10.1109/CVPR42600.2020.00252, 10.1109/CVPR.2019.00453, 10.1109/ITSC.2017.8317828, "
fmax = 800 GHz with 75 nm gate length and asymmetric gate recess for InGaAs/InAlAs PHEMT,,,,"M. Samnouni,Nicolas Wichmann,X. Wallart,Christophe Coinon,Sylvie Lepilliet,S. Bollaert",2024,,
InP photodetectors for millimeter wave applications based on edge-coupled heterojunction phototransistors,"Phototransistor,Heterojunction,Edge-coupled,Microwave,Millimeter wave,GaInAS/InP,Photodetector",,,"Jerome van de Casteele,Vincent Magnin,Jean-Philippe Gouy,Jean-Pierre Vilcot,Joseph Harari,Sophie Maricot,Didier Decoster",2024,10.1117/12.271188,
Molecular Junctions for Terahertz Switches and Detectors.,,,"Mechanical Engineering,Condensed Matter Physics,General Materials Science,General Chemistry,Bioengineering","Imen Hnid,Ali Yassin,Imane Arbouch,David Guérin,Colin Van Dyck,Lionel Sanguinet,Stéphane Lenfant,Jérôme Cornil,Philippe Blanchard,Dominique Vuillaume",2024,10.1021/acs.nanolett.3c04602,"10.1063/1.1659785, 10.1016/0009-2614(74)85031-1, 10.1126/science.271.5256.1705, 10.1021/nn102371z, 10.1103/PhysRevLett.113.133001, 10.1038/s41557-021-00827-7, 10.1021/acsnano.1c06394, 10.1063/5.0096081, 10.1038/s41566-021-00835-6, 10.1038/nphoton.2013.151, 10.1038/nature19816, 10.1103/PhysRevLett.130.096201, 10.1021/acs.nanolett.3c00271, 10.1146/annurev.physchem.52.1.681, 10.1063/1.3435351, 10.1038/ncomms12850, 10.1103/PhysRevLett.115.138302, 10.1038/s41566-018-0241-1, 10.1126/science.1248797, 10.1103/PhysRevLett.90.178302, 10.1038/nnano.2014.177, 10.1039/D0CP01448F, 10.1021/ja010152+, 10.1021/ja017475q, 10.1103/PhysRevLett.67.516, 10.1016/j.physrep.2004.11.002, 10.1088/1367-2630/10/8/085005, 10.1002/pssb.200879862, 10.1103/PhysRevB.81.165307, 10.1021/acs.jpcc.8b05190, 10.1103/PhysRevB.65.165401, 10.1021/cr0300789, 10.1063/1.1471375, 10.1126/science.1224823, 10.1103/PhysRev.129.647, 10.1142/7434, 10.1088/1361-6463/ab31d5, 10.1038/s41598-017-03787-6, 10.1364/OE.21.029938, 10.1002/adma.201003178, 10.1021/acsami.2c13148, 10.1021/jp512803s, "
"Entre sirènes et silènes, les enjeux herméneutiques des échanges croisés entre musique et poésie,Between sirens and silenes,the hermeneutical stakes of the mutual exchanges between music and poetry","Baudelaire,Music,Poetry,Hermeneutic,Rhythm,Symbolism,Baudelaire,Musique,Poésie,Herméneutique,Rythme,Symbolisme",,,Sophie Angot,2024,,
« Mettre une bonne part des Langues entre les Œuvres de la Nature » Oikeiosis et histoire de la langue dans l’œuvre de Marie de Gournay,"Lecture,Transmission,Appropriation,Ingenium,Génie de la langue",,,Blandine Perona,2024,,
Minimal δ(2)-ideal Lagrangian submanifolds and the quaternionic projective space,"Anti-symmetric surfaces,Ideal Lagrangian submanifolds,Quaternionic projective space",,"Geometry and Topology,General Physics and Astronomy,Mathematical Physics","Kristof Dekimpe,Joeri van der Veken,Luc Vrancken",2024,10.1016/j.geomphys.2023.104857,"10.1007/s10231-003-0089-x, 10.4099/math1924.26.105, 10.1007/BF01202073, 10.1016/j.difgeo.2013.09.006, 10.2996/kmj/1138833651, 10.2996/kmj/1138036063, 10.2307/1969989, "
Expertise reversal for different forms of instructional designs in dynamic visual representations,,,Education,"Aïmen Khacharem,Bachir Zoudji,Slava Kalyuga",2024,10.1111/bjet.12167,"10.1007/BF03173563, 10.1007/s10648-011-9174-7, 10.1007/s11423-012-9276-z, 10.1207/s1532690xci2104_1, 10.1007/s11251-009-9108-7, 10.1016/j.chb.2010.07.042, 10.1016/j.lindif.2010.03.001, 10.1017/CBO9780511816819.022, 10.1007/s10648‐007‐9054‐3, 10.1016/j.chb.2007.02.018, 10.1037/0022-0663.92.1.126, 10.1207/S15326985EP3801_4, 10.1080/10413200.2012.718312, 10.1123/jsep.35.3.260, 10.1080/10413200.2012.735342, 10.1037/0022-0663.98.4.902, 10.1016/j.psychsport.2012.11.004, 10.1017/CBO9780511816819.012, 10.1207/S15326985EP3801_6, 10.1007/s10648‐005‐3951‐0, 10.1037/h0043158, 10.1080/01443410.2013.785050, 10.1002/acp.1349, 10.1016/j.compedu.2008.11.014, 10.1037/h0049234, 10.1007/s12528-009-9011-x, 10.1016/j.learninstruc.2004.06.005, 10.1007/s10648-010-9135-6, 10.1016/j.chb.2010.05.011, 10.1023/B:TRUC.0000021808.72598.4d, 10.1023/A:1022193728205, 10.1007/978-1-4419-8126-4, 10.1016/j.compedu.2009.10.013, "
High Speed Optoelectronic Devices for Optical to Millimeter Wave Conversion,Optoelectronics devices,,"Mechanical Engineering,Mechanics of Materials,Condensed Matter Physics,General Materials Science","Jean Pierre Vilcot,Vincent Magnin,J. Harari,M. Fendler,Didier Decoster",2024,10.4028/www.scientific.net/MSF.297-298.87,
Conception et optimisation de dispositifs microtechnologiques à l’aide d’un Algorithme Génétique,Algorithme génétique,,,"Vincent Magnin,Ian Cayrefourcq,Bob Bellini",2024,,
ForColormap,"Fortran,Colormap",,,"Vincent Magnin,Seyed Alireza Ghasemi",2024,,
"Résonateurs hybrides à ondes acoustiques de surface et de volume,Hybrid Surface and Bulk Acoustic Waves Resonators","Radiofrequency filters,Architected materials simulation,Microelectronics fabricationwaves,Piezoelectricity,SAW filters,BAW filters,Filtres radiofréquences,Simulation de matériaux architectures,Fabrication microélectronique,Piézoélectricité,Filtres SAW",,,Saher Barsoum,2024,,
Que peuvent encore nous apprendre les études de public ?,"Études de public,Muséographie",,,"Daniel Schmitt,Marine Thébault,Florence Raymond",2024,,
"De la phisionomie (Essais, III, 12)","Littérature de la Renaissance,Michel de Montaigne,Rhétorique,Éthique,Socrate,Écriture de soi",,,Blandine Perona,2024,10.15122/isbn.978-2-406-08227-9,
Fabrication of higher thermal stability doped β-tricalcium phosphate bioceramics by robocasting,,,,"Nicolas Somers,Florian Jean,Marie Lasgorceix,Anthony Thuault,Nicolas Preux,Cathy Delmotte,Fabrice Petit,Anne Leriche",2024,,
Hybrid additive/subtractive manufacturing system to prepare dense and complex shape ceramic parts,,,,"Qirong Chen,Enrique Juste,Marie Lasgorceix,Anne Leriche,Fabrice Petit",2024,,
Integrity of autonomous train: safety requirements analysis,"Autonomous train ERTMS integrity safety requirements traceability,Autonomous train,ERTMS,Integrity,Safety,Requirements traceability",,,"Insaf Sassi,El-Miloudi El-Koursi",2024,10.3850/981-973-0000-00-0,
