title,keyword,abstract,field,authors,date,doi,references
Developing Tactical Skills through the Use of Static and Dynamic Soccer Visualizations: An Expert–Nonexpert Differences Investigation,,,Applied Psychology,"Aïmen Khacharem,Bachir Zoudji,Slava Kalyuga,Hubert Ripoll",2024,10.1080/10413200.2012.735342,"10.1002/acp.1343, 10.3758/BF03196585, 10.1037/1076-898X.8.1.6, 10.1017/CBO9780511816819.019, 10.1016/j.learninstruc.2008.03.004, 10.1016/j.learninstruc.2009.02.014, 10.1016/0010-0285(73)90004-2, 10.1002/acp.1344, 10.1007/BF00309145, 10.1017/S0140525X01003922, 10.1080/13506280444000021A, 10.1146/annurev.psych.47.1.273, 10.1016/S0140-6736(00)03649-7, 10.1097/00001888-199910000-00049, 10.1037/1076-898X.10.1.42, 10.1037/a0017683, 10.1017/CBO9780511610448.005, 10.1207/s1532690xci2104_1, 10.1016/j.learninstruc.2007.09.013, 10.1123/jsep.28.1.49, 10.1017/CBO9780511816819.022, 10.1002/acp.1249, 10.1007/s10648-007-9054-3, 10.1016/j.chb.2007.02.018, 10.1207/S15326985EP3801_4, 10.1037/0022-0663.92.1.126, 10.1080/01443410124681, 10.1007/s10648-012-9195-x, 10.1037/0022-0663.96.3.558, 10.1207/S1532690XCI2001_3, 10.1037/0022-0663.98.4.902, 10.1016/S0959-4752(02)00019-1, 10.1007/BF03172967, 10.1016/j.learninstruc.2004.06.003, 10.1002/acp.1712, 10.1123/jsep.29.4.457, 10.1080/026404100365180, 10.1002/acp.1350, 10.1037/1076-898X.11.4.256, 10.1207/S15326985EP3801_6, 10.1007/s10648-007-9047-2, 10.1006/ijhc.2002.1019, 10.1037/0022-0663.84.4.429, 10.1207/S15326985EP3801_1, 10.1023/B:TRUC.0000021806.17516.d0, 10.1002/acp.1349, 10.1177/001872089303500412, 10.1207/S15326985EP3801_8, 10.1037/0022-0663.82.1.135, 10.1007/978-1-4419-8126-4, 10.1006/ijhc.2002.1017, "
Does imagination enhance learning? A systematic review and meta-analysis,"Imagination,Instructional designs,Learning,Meta-analysis,Prior Knowledge",,"Developmental and Educational Psychology,Education","Hajer Mguidich,Bachir Zoudji,Aïmen Khacharem",2024,10.1007/s10212-023-00754-w,"10.2307/2533446, 10.1007/s00426-023-01806-y, 10.1177/17479541231177003, 10.1016/j.compedu.2016.06.005, 10.1002/ase.1524, 10.1007/s10648-021-09606-9, 10.1111/1467-9817.00088, 10.2190/MG7X-4J8N-CKYR-P0, 10.1002/(SICI)1099-0720(199604)10:2%3C151::AID-ACP380%3E3.0.CO;2-U, 10.1007/s11423-019-09684-1, 10.1037/1076-898X.7.1.68, 10.1007/s10648-013-9222-6, 10.1037/0021-9010.79.4.481, 10.1111/j.0006-341X.2000.00455.x, 10.1136/bmj.315.7109.629, 10.1080/10671188.1964.10613343, 10.1123/jsp.5.1.25, 10.1017/CBO9781107707085.007, 10.1017/CBO9781107707085, 10.1007/s10648-015-9348-9, 10.2307/747998, 10.1177/2F000494410504900202, 10.1016/S0361-476X(02)00016-4, 10.1002/sim.1186, 10.1016/j.learninstruc.2007.09.013, 10.1177/2F1362168820971785, 10.1007/s10648-007-9054-3, 10.28945/1349, 10.1207/s15326985ep3801_4, 10.1111/bjet.12167, 10.1080/10413200.2012.718312, 10.1016/j.chb.2014.03.021, 10.1111/j.2044-8279.1975.tb02294.x, 10.1002/acp.1061, 10.1037/1076-898X.11.4.266, 10.1002/acp.1373, 10.1037/a0037142, 10.1037/edu0000310, 10.1016/j.chb.2008.12.010, 10.1007/s11606-018-4425-7, 10.1080/00220973.2016.1143796, 10.1080/02699050410001671883, 10.1002/sim.698, 10.1007/BF02766598, 10.1016/j.ijer.2012.12.002, 10.1207/S15326985EP3602_3, 10.1017/CBO9781139547369.005, 10.1002/acp.1350, 10.1186/2046-4053-4-1, 10.1177/0963721420922183, 10.1177/153944920002000304, 10.1191/026921501672063235, 10.1177/1545968308326427, 10.1037/0022-0663.68.3.355, 10.1016/j.metip.2020.100031, 10.1037/h0077014, 10.1080/00221309.1934.9917742, 10.1080/00221309.1935.9917869, 10.1016/j.edurev.2017.11.001, 10.1007/BF02504797, 10.1016/0364-0213(88)90023-7, 10.1007/978-1-4419-8126-4_14, 10.1007/978-1-4419-8126-4_5, 10.1007/s10648-019-09465-5, 10.1023/A:1022193728205, 10.1007/s11251-005-6075-5, 10.1371/journal.pone.0215052, 10.3102/0034654314564881, 10.1016/0167-8760(94)90059-0, 10.1080/00461527409529129, 10.1207/s15326985ep2404_2, 10.1037/0022-0663.82.3.513, "
"The role of coach’s gaze guidance on memorization of tactical movements in basketball: an eye tracking study,Die Rolle der Blickführung des Trainers bei der Memorisierung taktischer Bewegungen im Basketball: Eine Studie zur Blickverfolgung","Basketball,Expertise,Eye-tracking,Gaze guidance,Redundancy,Tactics",,"Physical Therapy, Sports Therapy and Rehabilitation,Orthopedics and Sports Medicine","Houssem Ben Chikha,Bachir Zoudji,Aïmen Khacharem",2024,10.1007/s12662-023-00907-5,"10.1017/CBO9781139547369.011, 10.1146/annurev.psych.59.103006.093639, 10.3758/BF03193678, 10.1007/s00426-023-01806-y, 10.1177/17479541231177003, 10.1016/S0079-6123(09)17618-5, 10.3389/fpsyg.2017.00738, 10.1080/1612197X.2022.2138498, 10.3389/fpsyg.2018.02165, 10.1016/j.concog.2016.08.016, 10.1080/135062899394920, 10.1002/symb.255, 10.3389/fpsyg.2021.656388, 10.3758/BRM.41.4.1149, 10.1037/edu0000325, 10.3758/s13414-013-0423-3, 10.1080/17470218.2014.992797, 10.3758/s13414-017-1429-z, 10.1016/j.chb.2007.02.009, 10.2478/ijcss-2018-0011, 10.1007/s10648-007-9054-3, 10.1016/j.chb.2007.02.018, 10.1002/(SICI)1099-0720(199908)13:4<351::AID-ACP589>3.0.CO;2-6, 10.1207/S15326985EP3801_4, 10.1080/02640414.2016.1218034, 10.1111/bjet.12167, 10.1080/09658211.2019.1609520, 10.3390/app11146648, 10.1007/s12662-020-00659-6, 10.3389/fpsyg.2017.01845, 10.1080/135062899394939, 10.1016/S1364-6613(99)01436-9, 10.3389/fpsyg.2019.01128, 10.1017/CBO9781139547369.017, 10.1016/j.humov.2022.102975, 10.1123/jsep.2021-0149, 10.1037/0022-0663.84.4.429, 10.1207/S15326985EP3801_8, 10.1016/j.compedu.2018.10.006, 10.1016/j.compedu.2019.103713, 10.1068/p7487, 10.1007/978-3-030-81938-5_46, 10.1016/j.learninstruc.2017.09.008, 10.1016/j.chb.2018.07.019, 10.1037/edu0000650, 10.1007/978-1-4419-8126-4, 10.1007/s10648-019-09465-5, 10.1017/CBO9781139547369.014, 10.1016/j.compedu.2013.12.004, 10.1080/13506289508401722, 10.1111/jcal.12309, 10.1016/j.compedu.2018.03.011, "
Chapitre 12. Intelligence artificielle et éthique : analyse des enjeux et risques pour les entreprises,,,,"Hafida Boudkouss,Redouane Jidal,Mbaye Fall Diallo,Souad Djelassi",2024,10.3917/ems.colli.2022.01.0224,
Les technologies interactives en magasin : vers une compréhension des relations entre l’interactivité et la valeur perçue,"Interactivité,Technologie interactive,Valeur perçue,Digitalisation",,,"Hafida Boudkouss,Souad Djelassi",2024,,
AGENPERSO : Interface homme-machine à base d'AGENts Logiciels PERSOnnels d'information aux usagers des TC,,,,"Christelle Petit-Rozé,Abdouroihamane Anli,Emmanuelle Grislin-Le Strugeon,Mourad Abed,Christophe Kolski",2024,,
Scattering-matrix approach for a quantitative evaluation of the topological protection in valley photonic crystals,,,,"Gaëtan Lévêque,Yan Pennec,Pascal Szriftgiser,Alberto Amo,Alejandro Martínez",2024,10.1103/PhysRevA.108.043505,"10.1038/nmat3520, 10.1103/RevModPhys.91.015006, 10.1515/nanoph-2020-0441, 10.1364/OME.415128, 10.1088/2515-7647/ac4ee4, 10.1126/science.aaq0327, 10.1038/s41565-018-0297-6, 10.1038/s41467-019-08881-z, 10.1126/sciadv.aaw4137, 10.1103/PhysRevLett.128.203903, 10.1002/lpor.202200071, 10.1038/s41467-022-32909-6, 10.1103/PhysRevLett.114.223901, 10.1088/1367-2630/18/2/025012, 10.1103/PhysRevLett.120.063902, 10.1038/s41467-017-01515-2, 10.1002/lpor.201900087, 10.1038/s41377-020-00458-6, 10.1038/nature08293, 10.1126/science.aao4551, 10.1002/qute.201900117, 10.1002/adpr.202100013, 10.1103/PhysRevB.98.155138, 10.1103/PhysRevB.101.054307, 10.1103/PhysRevLett.126.027403, 10.1038/s41566-023-01189-x, 10.1103/PhysRevB.96.041408, 10.1103/PhysRevB.101.205303, 10.1364/OPTICA.393035, 10.1364/OME.427069, 10.1364/OE.16.004621, 10.1103/PhysRevResearch.2.012011, 10.1038/nphoton.2009.237, 10.1017/9781316662205, "
Space-time Modulation in a Piezoelectric Phononic Crystal: Experimental Study in Sub-sonic and Sonic Regimes,,,,"Sarah Tessier Brothelande,Charles Croenne,Florian Allein,Jerome Vasseur,Bertrand Dubus",2024,,
Towards III-V semiconductor-based artificial graphene,Two-dimensional lattice III-V semiconductor band engineering block copolymer lithography,,,"Nathali. A. Franchina Vergel,L. Christiaan Post,Davide Sciacca,Maxime Berthe,Francois Vaurette,Yannick Lambert,Dmitri Yarekha,David Troadec,Christophe Coinon,Guillaume Fleury,Abhishek Juyal,Julien Renard,Tao Xu,Ludovic Desplanque,Xavier Wallart,Daniel Vanmaekelbergh,Christophe Delerue,Bruno Grandidier",2024,,
La Colonia Iulia Felix Sinope : d’une ironie tragique à une réalité,,,,Claire Barat,2024,10.2307/j.ctv2c3k2nr.14,
"Machine Learning Applications in Medical Diagnosis, case study,Applications de Machine Learning dans le domaine de diagnos","Deep Learning,Medical Diagnosis,Applications,Machine Learning,Apprentissage automatique,Apprentissage profond,Diagnostic médicale",,,Marwa Afnouch,2024,,
Metaheuristics for Machine Learning,,,,"Mansour Eddaly,Bassem Jarboui,Patrick Siarry",2024,10.1007/978-981-19-3888-7,
Optical and Electrical Modelling for the Study of Microwave Photonic Devices,Microwave Photonics,,,"Joseph Harari,Vincent Magnin,Thomas Barrou,Jean-Pierre Vilcot",2024,,
"Exploration des jeux d’évasion : définitions, évaluations et approches utilitaires,Exploring Escape Games: definitions, evaluation and utilitarian approaches",,,"General Medicine,General Chemistry","Julian Alvarez,Antoine Taly,Mathieu Vermeulen",2024,10.4000/sdj.3399,
Comparison of the Antibacterial Activity of Selected Deep Eutectic Solvents (DESs) and Deep Eutectic Solvents Comprising Organic Acids (OA‐DESs) Towards Gram‐positive and Gram‐negative Species,,,"Pharmaceutical Science,Biomedical Engineering,Biomaterials","Tomasz Swebocki,Aleksandra Kocot,Alexandre Barras,Helena Arellano,Leila Bonnaud,Kamel Haddadi,Anne‐laure Fameau,Sabine Szunerits,Magdalena Plotka,Rabah Boukherroub",2024,10.1002/adhm.202303475,"10.1021/acssuschemeng.1c03187, 10.1039/C4GC02401J, 10.1039/C5RA05746A, 10.3390/s23083915, 10.1021/acsami.0c11467, 10.1134/S1023193515080108, 10.1016/j.seppur.2022.122427, 10.1016/j.jece.2021.105333, 10.1016/j.jece.2022.108792, 10.1021/acssuschemeng.7b01554, 10.1002/anie.200803202, 10.1021/acssuschemeng.7b03684, 10.1016/j.jconrel.2019.09.019, 10.1021/acs.iecr.2c01898, 10.1016/j.seppur.2023.123590, 10.1016/j.cej.2023.144971, 10.3390/ijms24108492, 10.1016/S0168-3659(97)00153-3, 10.1002/aic.14941, 10.1038/s41598-019-51472-7, 10.1039/C5MD00551E, 10.1016/j.ejpb.2017.02.003, 10.1016/j.ejpb.2015.11.002, 10.1002/adhm.201600086, 10.1016/j.jconrel.2018.07.029, 10.1002/adhm.201601411, 10.1002/adtp.202000180, 10.1002/adfm.202002912, 10.1016/j.scp.2019.100192, 10.1021/acsabm.9b00598, 10.1016/j.molliq.2021.116950, 10.1016/j.jhazmat.2021.127963, 10.1016/j.polymer.2022.125314, 10.15255/CABEQ.2018.1454, 10.3390/pharmaceutics14040827, 10.1039/C4RA13577F, 10.1016/j.ijpharm.2016.04.018, 10.1007/s11356-015-6003-4, 10.1021/ja048266j, 10.5740/jaoacint.17-0286, 10.1002/apj.2074, 10.1016/j.fluid.2019.03.018, 10.1039/b210714g, 10.1007/s11356-018-1669-z, 10.1016/j.chemosphere.2012.11.004, 10.1021/acssuschemeng.5b00619, 10.17504/protocols.io.5qpvo3x6dv4o/v1, "
Moving Horizon Estimation for Anesthesia dynamics,"Moving Horizon Estimation,Anesthesia dynamics,Pharmacodynamic",,,"Kaouther Moussa,Bob Aubouin-Pairault,Mazen Alamir,Mohammad Ajami,Thao Dang",2024,,
"Usages créatifs de l’intelligence artificielle : quand y a-t-il art ?,Creative uses of artificial intelligence: When is there art?",Artificial intelligence computational creativity computer art interaction natural intelligence,,,Nikoleta Kerinska,2024,10.25965/visible.641,
Online EM monitoring of 802.11n networks using Self Adaptive Kernel Machine,"Classification adaptive approach identification of attacks communication monitoring,Classification,Adaptive approach,Identification of attacks,Communication monitoring",,,"Villain Jonathan,Anthony Fleury,Virginie Deniau,Christophe Gransart,Eric Pierre Simon",2024,10.1109/ICMLA.2019.00189,"10.1016/S0165-0114(02)00060-X, 10.1007/978-1-4757-2440-0, 10.1162/089976600300015565, 10.3182/20060329-3-AU-2901.00197, 10.1016/j.neunet.2008.03.016, 10.1109/TSP.2005.851098, 10.1109/TEMC.2017.2684428, 10.1109/INES.2010.5483815, 10.1109/TSP.2004.830991, 10.1109/TEMC.2019.2900262, 10.1007/b98152, "
"A vision transformer-based framework for knowledge transfer from multi-modal to mono-modal lymphoma subtyping models,Un framework basé sur le vision transformer pour le transfert de connaissance multi-modal vers mono-modal de modèles de sous-typage de lymphome.","Image and Video Processing eessIV,Computer Vision and Pattern Recognition csCV,Computational pathology",,,"BILEL GUETARNI,Feryal Windal,Halim Benhabiles,Marianne Petit,Romain Dubois,Emmanuelle Leteurtre,Dominique Collard",2024,10.48550/arXiv.2308.01328,
"Statistical mechanics and thermodynamics of adhesion, phase transformations, and fracture in micro- and nano-systems,Mécanique statistique et thermodynamique de l'adhésion, des transformations de phase et de la rupture dans les micro et nanosystèmes","Micro-Instabilities,Phase transformations,Statistical mechanics,Material science,Fracture,Biophysics,Attachment/ Detachment,Ising mode,Crack propagation,Micro-Instabilités,Transformations de phase,Mécanique statistique,Science des matériaux,Fracture,Biophysique,Attachement/Déttachement,Modèle d’ising,Propagation des fissures",,,Andrea Cannizzo,2024,,
Understanding in-store interactive technology use: a uses and gratifications theory (UGT) perspective,,,"Business and International Management,Marketing","Hafida Boudkouss,Souad Djelassi",2024,10.1108/IJRDM-11-2020-0459,"10.2139/ssrn.3691441, 10.1108/JSIT-01-2020-0010, 10.1016/j.chb.2015.06.005, 10.1108/ITP-01-2018-0017, 10.1016/j.chb.2017.10.026, 10.1108/IJRDM-09-2019-0294, 10.1108/IJRDM-08-2016-0144, 10.1108/10662241211199960, 10.1016/j.jretconser.2018.01.016, 10.1108/IntR-11-2016-0334, 10.1108/09590551011045357, 10.1108/IJRDM-11-2018-0251, 10.2307/20650308, 10.1016/0167-8116(95)00027-5, 10.1108/09564230310465994, 10.2307/249008, 10.1287/mnsc.35.8.982, 10.1016/j.jretai.2019.12.004, 10.1108/IJRDM-08-2015-0122, 10.1016/j.tele.2016.08.017, 10.1016/j.dss.2018.04.004, 10.1016/S0148-2963(97)00061-1, 10.1037/0022-3514.82.5.804, 10.1108/IJRDM-06-2018-0112, 10.1007/s11628-016-0302-9, 10.1016/j.chb.2017.11.014, 10.1016/j.chb.2017.10.003, 10.1108/IJRDM-05-2018-0089, 10.1016/j.jretconser.2017.08.005, 10.1016/j.chb.2018.03.016, 10.1108/IJRDM-07-2019-0225, 10.1016/j.chb.2013.06.002, 10.1086/268109, 10.1108/09590551011027122, 10.1016/j.chb.2018.12.040, 10.1037/a0039210, 10.1108/IJRDM-05-2017-0111, 10.1111/jpim.12176, 10.1080/09593969.2019.1575261, 10.1016/j.chb.2015.01.053, 10.1108/IntR-11-2013-0247, 10.1016/j.jretconser.2017.10.015, 10.1016/j.chb.2012.02.002, 10.1016/j.dss.2010.11.015, 10.1509/jmkg.64.3.50.18024, 10.1016/S0148-2963(01)00276-4, 10.18178/joebm.2017.5.3.503, 10.1108/IJRDM-08-2019-0261, 10.1016/j.jretconser.2013.07.002, 10.1108/09564230710751497, 10.1016/j.jretconser.2010.03.010, 10.1207/s15506878jobem4402_2, 10.1108/JFMM-09-2019-0221, 10.1002/mar.21106, 10.1016/j.jretconser.2019.05.025, 10.1016/j.jbusres.2015.01.014, 10.1016/j.jretconser.2018.02.005, 10.25300/MISQ/2015/39.1.08, 10.1108/10662240910927795, 10.1201/9780429487736-7, 10.1108/IJRDM-09-2018-0189, 10.1108/IJRDM-04-2017-0084, 10.2307/41410412, 10.1016/j.jretai.2015.02.005, 10.1108/QMR-06-2013-0041, 10.1016/j.chb.2016.10.028, 10.1016/j.jretconser.2016.12.013, "
Les technologies interactives en magasin : vers une compréhension des relations entre l’interactivité et la valeur perçue,"Interactivité,Technologie interactive,Valeur perçue,Digitalisation",,,"Hafida Boudkouss,Souad Djelassi",2024,,
"Electron-transport polymeric gold nanoparticles memory device, artificial synapse for neuromorphic applications",,,"Electrical and Electronic Engineering,Materials Chemistry,Condensed Matter Physics,General Chemistry,Biomaterials,Electronic, Optical and Magnetic Materials","B. Hafsi,A. Boubaker,David Guérin,S. Lenfant,S. Desbief,F. Alibart,A. Kalboussi,Dominique Vuillaume,K. Lmimouni",2024,10.1016/j.orgel.2017.08.029,"10.1109/4.400434, 10.1109/4.104196, 10.1088/0957-4484/24/38/380201, 10.1523/JNEUROSCI.4476-05.2005, 10.1162/neco.2007.19.2.327, 10.1002/adfm.200901335, 10.1007/s11664-016-5067-3, 10.1038/nature07727, 10.1039/C4TC00390J, 10.1021/la981379u, 10.1021/cr030698+, 10.1016/j.orgel.2017.02.035, 10.7567/APEX.6.067001, 10.1016/j.orgel.2015.02.021, 10.3389/fnins.2015.00051, 10.1523/JNEUROSCI.17-20-07926.1997, 10.1103/PhysRevB.57.12964, 10.1016/j.neuron.2012.08.001, "
Le bénévolat dans une approche substantive de l'économie,,,"General Earth and Planetary Sciences,General Environmental Science",Laurent Gardin,2024,10.3917/rfas.024.0135,"10.1016/S0038-0296(00)01115-8, "
[Letter to editor] Altered microRNA expression in severe COVID‐19: Potential prognostic and pathophysiological role,,,"Molecular Medicine,Medicine (miscellaneous)","Nathalie Garnier,Kato Pollet,Marie Fourcot,Morgan Caplan,Guillemette Marot,Julien Goutay,Julien Labreuche,F. Soncin,Rabah Boukherroub,Didier Hober,Sabine Szunerits,Julien Poissy,Ilka Engelmann",2024,10.1002/ctm2.899,"10.1016/j.isci.2021.103672, 10.1371/journal.ppat.1010091, 10.1007/s00018‐012‐1257‐1, 10.1186/s13104‐021‐05816‐0, 10.1016/j.chom.2015.11.003, 10.1128/JVI.00539‐19, 10.1155/2019/6394784, 10.1016/j.ijid.2020.10.101, 10.1007/s10753‐020‐01325‐7, 10.1002/rmv.2141, 10.1242/dmm.047662, 10.3389/fgene.2021.678994, 10.14348/molcells.2020.0177, "
A Tight-Binding Model for Illustrating Exciton Connement in Semiconductor Nanocrystals,Exciton energy,,"Physical and Theoretical Chemistry,General Physics and Astronomy","Z. Hens,Christophe Delerue",2024,10.1063/5.0192031,"10.1063/1.445676, 10.1063/1.447218, 10.1021/acsnano.1c01399, 10.1063/5.0032172, 10.1021/nn506223h, 10.1038/nature25147, 10.1038/s41566-023-01225-w, 10.1038/s41565-023-01521-0, 10.1021/acs.chemrev.6b00164, 10.1038/s41377-021-00548-z, 10.1103/physrevb.82.233302, 10.1039/c2jm30760j, 10.1103/physrevb.47.7594, 10.1103/physrevb.49.16129, 10.1103/physrevb.106.245307, 10.1238/physica.regular.067a00253, 10.1103/physrevb.54.4843, 10.1021/acs.nanolett.2c00056, 10.1103/physrev.108.1384, 10.1103/physrevlett.59.2337, "
Le football des quartiers d'Abidjan.,"Football,Maracana,Rue,Abidjan,Loisirs",,,Yaya Koné,2024,,
Integrated drive and reliabilities: fault tolerant architectures and supply,"Integrated drive,Multiphase machine,Heatpipe,Fault-tolerance,Wide band-gap component",,,"Eric Semail,Nadir Idir,Souad Harmand,Betty Lemaire-Semail",2024,,
